,dest_node,source_node,weight,source_class,dest_class,edge_class
0,34,25,1,0,0,0-0
1,0,35,1,0,0,0-0
2,35,41,1,0,0,0-0
3,45,56,1,0,0,0-0
4,18,2,1,0,0,0-0
5,7,30,1,0,0,0-0
6,49,55,1,0,0,0-0
7,48,10,1,0,0,0-0
8,19,45,1,0,0,0-0
9,50,58,1,0,0,0-0
10,14,36,1,0,0,0-0
11,52,50,1,0,0,0-0
12,56,8,1,0,0,0-0
13,10,35,1,0,0,0-0
14,54,42,1,0,0,0-0
15,30,1,1,0,0,0-0
16,24,50,1,0,0,0-0
17,16,38,1,0,0,0-0
18,41,30,1,0,0,0-0
19,29,24,1,0,0,0-0
20,3,10,1,0,0,0-0
21,26,13,1,0,0,0-0
22,55,24,1,0,0,0-0
23,6,23,1,0,0,0-0
24,8,40,1,0,0,0-0
25,11,14,1,0,0,0-0
26,23,58,1,0,0,0-0
27,32,43,1,0,0,0-0
28,43,17,1,0,0,0-0
29,51,59,1,0,0,0-0
30,57,54,1,0,0,0-0
31,47,3,1,0,0,0-0
32,4,35,1,0,0,0-0
33,33,31,1,0,0,0-0
34,20,59,1,0,0,0-0
35,27,52,1,0,0,0-0
36,36,19,1,0,0,0-0
37,2,38,1,0,0,0-0
38,46,41,1,0,0,0-0
39,31,56,1,0,0,0-0
40,13,40,1,0,0,0-0
41,17,48,1,0,0,0-0
42,44,31,1,0,0,0-0
43,28,12,1,0,0,0-0
44,42,45,1,0,0,0-0
45,12,55,1,0,0,0-0
46,22,26,1,0,0,0-0
47,39,48,1,0,0,0-0
48,21,27,1,0,0,0-0
49,59,2,1,0,0,0-0
50,5,6,1,0,0,0-0
51,15,22,1,0,0,0-0
52,58,32,1,0,0,0-0
53,38,29,1,0,0,0-0
54,40,38,1,0,0,0-0
55,25,16,1,0,0,0-0
56,9,11,1,0,0,0-0
57,53,37,1,0,0,0-0
58,37,45,1,0,0,0-0
59,1,40,1,0,0,0-0
60,21,52,1,0,0,0-0
61,37,51,1,0,0,0-0
62,33,28,1,0,0,0-0
63,43,0,1,0,0,0-0
64,9,28,1,0,0,0-0
65,47,20,1,0,0,0-0
66,33,44,1,0,0,0-0
67,12,18,1,0,0,0-0
68,10,24,1,0,0,0-0
69,35,55,1,0,0,0-0
70,47,55,1,0,0,0-0
71,44,24,1,0,0,0-0
72,32,40,1,0,0,0-0
73,44,20,1,0,0,0-0
74,11,59,1,0,0,0-0
75,8,57,1,0,0,0-0
76,22,12,1,0,0,0-0
77,47,15,1,0,0,0-0
78,47,1,1,0,0,0-0
79,53,2,1,0,0,0-0
80,59,52,1,0,0,0-0
81,5,54,1,0,0,0-0
82,40,2,1,0,0,0-0
83,10,6,1,0,0,0-0
84,14,43,1,0,0,0-0
85,7,34,1,0,0,0-0
86,45,34,1,0,0,0-0
87,48,13,1,0,0,0-0
88,18,38,1,0,0,0-0
89,56,37,1,0,0,0-0
90,22,27,1,0,0,0-0
91,44,55,1,0,0,0-0
92,52,20,1,0,0,0-0
93,48,3,1,0,0,0-0
94,21,8,1,0,0,0-0
95,30,20,1,0,0,0-0
96,45,1,1,0,0,0-0
97,47,21,1,0,0,0-0
98,51,26,1,0,0,0-0
99,52,18,1,0,0,0-0
100,58,22,1,0,0,0-0
101,11,21,1,0,0,0-0
102,37,9,1,0,0,0-0
103,58,50,1,0,0,0-0
104,25,18,1,0,0,0-0
105,52,31,1,0,0,0-0
106,30,43,1,0,0,0-0
107,58,11,1,0,0,0-0
108,43,16,1,0,0,0-0
109,58,8,1,0,0,0-0
110,16,31,1,0,0,0-0
111,38,8,1,0,0,0-0
112,29,59,1,0,0,0-0
113,49,51,1,0,0,0-0
114,49,32,1,0,0,0-0
115,6,12,1,0,0,0-0
116,47,38,1,0,0,0-0
117,52,54,1,0,0,0-0
118,32,2,1,0,0,0-0
119,6,48,1,0,0,0-0
120,13,6,1,0,0,0-0
121,51,56,1,0,0,0-0
122,30,4,1,0,0,0-0
123,6,6,1,0,0,0-0
124,6,22,1,0,0,0-0
125,45,24,1,0,0,0-0
126,0,17,1,0,0,0-0
127,21,3,1,0,0,0-0
128,22,35,1,0,0,0-0
129,5,46,1,0,0,0-0
130,9,13,1,0,0,0-0
131,11,43,1,0,0,0-0
132,48,53,1,0,0,0-0
133,13,42,1,0,0,0-0
134,31,55,1,0,0,0-0
135,1,41,1,0,0,0-0
136,39,18,1,0,0,0-0
137,5,7,1,0,0,0-0
138,10,9,1,0,0,0-0
139,35,39,1,0,0,0-0
140,23,34,1,0,0,0-0
141,59,30,1,0,0,0-0
142,51,51,1,0,0,0-0
143,37,4,1,0,0,0-0
144,16,39,1,0,0,0-0
145,41,39,1,0,0,0-0
146,19,47,1,0,0,0-0
147,9,26,1,0,0,0-0
148,20,19,1,0,0,0-0
149,35,28,1,0,0,0-0
150,58,39,1,0,0,0-0
151,54,27,1,0,0,0-0
152,23,38,1,0,0,0-0
153,49,45,1,0,0,0-0
154,12,9,1,0,0,0-0
155,25,4,1,0,0,0-0
156,4,2,1,0,0,0-0
157,55,26,1,0,0,0-0
158,39,29,1,0,0,0-0
159,48,56,1,0,0,0-0
160,10,40,1,0,0,0-0
161,29,44,1,0,0,0-0
