34 25 1
0 35 1
35 41 0
45 56 0
18 2 0
7 30 0
49 55 0
48 10 0
19 45 0
50 58 0
14 36 0
52 50 0
56 8 0
10 35 0
54 42 1
30 1 0
24 50 0
16 38 0
41 30 0
29 24 1
3 10 0
26 13 0
55 24 0
6 23 0
8 40 0
11 14 0
23 58 1
32 43 1
43 17 0
51 59 1
57 54 0
47 3 1
4 35 0
33 31 0
20 59 0
27 52 1
36 19 0
2 38 0
46 41 0
31 56 1
13 40 0
17 48 0
44 31 0
28 12 0
42 45 0
12 55 0
22 26 1
39 48 0
21 27 1
59 2 1
5 6 1
15 22 0
58 32 0
38 29 0
40 38 0
25 16 1
9 11 0
53 37 1
37 45 1
1 40 0
21 52 1
37 51 0
33 28 1
43 0 1
9 28 1
47 20 0
33 44 1
12 18 0
10 24 0
35 55 0
47 55 0
44 24 0
32 40 1
44 20 0
11 59 0
8 57 0
22 12 1
47 15 1
47 1 0
53 2 0
59 52 1
5 54 0
40 2 1
10 6 0
14 43 1
7 34 0
45 34 0
48 13 0
18 38 0
56 37 1
22 27 1
44 55 0
52 20 0
48 3 0
21 8 1
30 20 0
45 1 0
47 21 0
51 26 0
52 18 1
58 22 1
11 21 0
37 9 1
58 50 0
25 18 1
52 31 0
30 43 0
58 11 0
43 16 0
58 8 0
16 31 1
38 8 0
29 59 0
49 51 1
49 32 0
6 12 0
47 38 1
52 54 0
32 2 1
6 48 0
13 6 0
51 56 1
30 4 0
6 6 1
6 22 0
45 24 0
0 17 0
21 3 0
22 35 0
5 46 0
9 13 0
11 43 0
48 53 1
13 42 0
31 55 0
1 41 1
39 18 0
5 7 1
10 9 0
35 39 0
23 34 0
59 30 0
51 51 1
37 4 1
16 39 1
41 39 0
19 47 1
9 26 1
20 19 0
35 28 0
58 39 0
54 27 0
23 38 0
49 45 0
12 9 0
25 4 1
4 2 0
55 26 0
39 29 0
48 56 0
10 40 0
29 44 1
16 11 0
42 30 1
10 45 1
40 36 0
47 58 0
9 33 0
57 8 1
44 41 1
8 33 1
45 16 0
4 7 1
24 57 0
30 1 0
18 6 0
13 42 0
0 30 0
9 24 0
11 56 1
10 4 0
44 25 0
14 0 0
29 12 1
47 29 1
15 51 1
28 28 0
27 2 0
21 11 1
26 11 0
52 46 0
26 26 0
36 35 0
13 56 0
51 45 0
25 8 0
18 1 0
58 17 0
42 22 0
5 51 1
21 0 0
55 53 1
12 57 1
52 23 0
16 36 0
26 53 0
58 49 0
43 14 0
0 14 0
27 14 1
18 43 0
18 25 0
21 37 0
56 51 0
59 33 0
5 16 1
52 29 0
15 39 0
30 18 0
37 27 0
17 7 1
24 53 0
20 53 0
10 47 0
46 58 1
18 32 0
6 5 1
54 52 0
27 36 0
25 10 0
58 32 1
58 59 1
0 57 0
40 41 0
49 17 0
21 57 0
1 58 0
47 40 1
49 5 1
40 26 0
49 6 0
38 35 0
4 51 0
8 45 1
49 52 1
58 32 1
15 15 0
5 11 0
41 53 1
13 24 1
37 28 0
23 49 0
26 39 0
32 37 1
35 23 1
0 51 0
40 46 1
43 30 0
18 38 0
0 0 1
27 33 1
6 13 1
68 41 2
80 41 2
87 14 2
110 32 2
71 0 2
116 12 2
91 38 2
85 34 2
95 37 2
83 16 2
105 58 2
100 1 2
98 15 2
67 11 2
109 56 2
102 31 2
86 12 2
101 31 2
90 53 2
103 36 2
66 38 2
61 5 2
62 8 2
108 17 2
89 16 2
93 11 2
69 48 2
63 42 2
106 2 2
115 9 2
111 47 2
60 37 2
88 3 2
76 54 2
75 7 2
104 4 2
112 56 2
84 24 2
92 35 2
114 1 2
107 12 2
64 3 2
74 58 2
70 51 2
118 40 2
73 10 2
117 37 2
96 13 2
99 19 2
77 6 2
78 44 2
97 14 2
81 15 2
113 37 2
82 50 2
72 52 2
65 49 2
119 32 2
79 15 2
94 56 2
112 39 2
113 20 2
70 31 2
74 46 2
113 25 2
89 9 2
88 28 2
74 55 2
96 59 2
105 36 2
106 6 2
76 45 2
113 24 2
65 23 2
71 21 2
92 14 2
66 32 2
87 3 2
100 15 2
104 17 2
89 25 2
74 45 2
114 1 2
84 59 2
79 27 2
71 43 2
92 13 2
107 52 2
63 46 2
65 21 2
95 29 2
83 35 2
87 9 2
66 18 2
62 14 2
82 54 2
61 45 2
67 18 2
102 25 2
81 52 2
73 9 2
63 29 2
70 22 2
80 59 2
90 43 2
79 59 2
114 24 2
76 23 2
102 55 2
65 37 2
81 15 2
105 14 2
64 21 2
105 32 2
118 41 2
104 32 2
84 35 2
85 8 2
68 48 2
89 50 2
76 42 2
76 49 2
101 8 2
102 9 2
83 4 2
80 4 2
70 23 2
76 18 2
88 35 2
82 0 2
62 25 2
63 10 2
106 12 2
76 30 2
105 50 2
92 38 2
81 22 2
107 34 2
107 50 2
85 30 2
65 49 2
101 20 2
88 56 2
60 8 2
62 34 2
80 43 2
117 38 2
90 39 2
102 6 2
64 37 2
106 19 2
88 4 2
70 25 2
65 36 2
99 16 2
91 9 2
75 53 2
84 4 2
95 30 2
91 47 2
118 20 2
103 38 2
104 12 2
94 33 2
114 56 2
65 52 2
69 55 2
101 16 2
99 2 2
111 40 2
86 51 2
109 50 2
79 11 2
115 56 2
87 29 2
70 5 2
60 40 2
60 5 2
104 40 2
65 44 2
115 51 2
115 41 2
76 23 2
102 21 2
110 39 2
99 39 2
65 46 2
103 50 2
106 37 2
75 3 2
60 14 2
114 12 2
65 18 2
107 14 2
119 12 2
111 11 2
119 16 2
65 21 2
63 55 2
95 59 2
75 26 2
119 48 2
63 14 2
66 7 2
75 10 2
90 1 2
80 45 2
105 5 2
70 10 2
67 13 2
118 23 2
70 4 2
118 18 2
110 59 2
101 5 2
86 24 2
114 36 2
66 44 2
118 30 2
106 38 2
92 31 2
118 53 2
66 23 2
60 4 2
81 55 2
84 11 2
80 11 2
106 56 2
76 15 2
69 48 2
76 1 2
117 45 2
86 5 2
67 30 2
100 70 4
79 99 3
112 83 3
84 68 3
62 77 3
97 94 4
67 78 3
61 65 3
86 115 3
83 81 3
116 99 4
88 95 3
72 70 4
85 76 4
104 92 4
107 118 4
99 87 3
69 110 3
63 79 3
91 93 3
60 89 3
101 93 3
115 60 3
70 94 4
102 69 4
111 94 3
74 119 4
87 101 3
105 109 4
109 100 3
96 61 4
68 107 4
77 119 4
93 85 3
64 89 4
76 73 4
71 86 3
81 85 3
94 89 3
90 74 3
106 116 3
110 95 4
75 63 4
65 110 4
113 66 3
108 108 3
117 68 3
103 69 3
118 103 3
73 103 3
80 118 3
78 114 3
92 98 3
89 102 4
82 112 4
95 95 3
119 114 3
114 117 4
98 60 3
66 98 3
101 60 3
118 97 4
90 99 4
77 101 4
88 104 4
61 67 3
115 109 3
77 113 3
84 119 4
79 84 3
98 60 4
118 61 3
64 63 3
70 96 3
102 116 4
87 83 4
84 111 3
66 105 3
115 75 4
110 100 3
81 91 4
81 66 3
116 81 4
87 94 3
70 74 3
74 78 3
116 83 3
95 78 3
112 110 4
96 114 3
119 80 3
66 95 4
109 61 3
72 110 4
104 61 4
77 94 4
106 78 3
72 115 4
95 93 3
101 65 4
67 109 4
62 83 3
113 61 3
118 98 3
113 93 4
110 75 4
65 66 3
69 111 3
87 80 3
92 97 3
114 67 3
85 108 3
83 87 3
116 90 3
110 62 4
118 92 4
85 79 3
91 78 4
98 88 3
105 96 4
73 95 4
87 63 4
81 61 4
118 103 3
102 76 3
89 103 3
62 67 3
79 97 3
78 76 4
69 118 4
71 60 3
94 61 4
83 62 3
70 98 4
74 99 4
104 79 3
74 117 4
107 82 4
64 67 4
69 98 3
100 100 4
84 102 3
118 95 4
110 69 4
104 107 3
64 79 3
70 68 3
119 94 4
67 117 3
96 90 4
73 97 3
112 90 3
114 110 3
111 77 3
64 79 3
88 92 3
119 75 4
87 91 3
113 117 3
119 119 4
72 85 4
113 71 3
116 110 3
110 114 3
64 92 3
101 78 4
138 32 5
166 42 5
198 21 5
123 27 5
149 57 5
124 32 5
183 7 5
121 2 5
139 48 5
134 27 5
144 57 5
163 28 5
130 9 5
179 47 5
145 31 5
151 2 5
148 39 5
137 59 5
152 14 5
136 14 5
169 57 5
196 30 5
161 57 5
195 32 5
197 57 5
178 26 5
167 58 5
162 32 5
165 45 5
120 1 5
191 13 5
142 53 5
175 31 5
143 36 5
190 31 5
176 10 5
181 44 5
126 12 5
132 24 5
170 59 5
188 37 5
135 41 5
173 58 5
158 26 5
174 46 5
141 21 5
153 30 5
156 20 5
186 34 5
185 0 5
150 0 5
140 52 5
