,dest_node,source_node,weight,source_class,dest_class,edge_class
0,43,118,1,0,0,0-0
1,99,33,1,0,0,0-0
2,57,32,1,0,0,0-0
3,127,100,1,0,0,0-0
4,108,47,1,0,0,0-0
5,85,48,1,0,0,0-0
6,19,42,1,0,0,0-0
7,3,149,1,0,0,0-0
8,37,39,1,0,0,0-0
9,76,101,1,0,0,0-0
10,27,20,1,0,0,0-0
11,31,145,1,0,0,0-0
12,110,51,1,0,0,0-0
13,72,125,1,0,0,0-0
14,50,61,1,0,0,0-0
15,134,19,1,0,0,0-0
16,17,75,1,0,0,0-0
17,123,127,1,0,0,0-0
18,114,31,1,0,0,0-0
19,103,1,1,0,0,0-0
20,67,142,1,0,0,0-0
21,23,83,1,0,0,0-0
22,54,24,1,0,0,0-0
23,66,136,1,0,0,0-0
24,56,108,1,0,0,0-0
25,71,62,1,0,0,0-0
26,45,63,1,0,0,0-0
27,60,81,1,0,0,0-0
28,58,104,1,0,0,0-0
29,101,9,1,0,0,0-0
30,124,27,1,0,0,0-0
31,18,13,1,0,0,0-0
32,38,145,1,0,0,0-0
33,133,130,1,0,0,0-0
34,70,99,1,0,0,0-0
35,135,25,1,0,0,0-0
36,16,112,1,0,0,0-0
37,42,14,1,0,0,0-0
38,82,143,1,0,0,0-0
39,120,7,1,0,0,0-0
40,21,148,1,0,0,0-0
41,128,148,1,0,0,0-0
42,26,18,1,0,0,0-0
43,96,110,1,0,0,0-0
44,117,27,1,0,0,0-0
45,48,136,1,0,0,0-0
46,36,69,1,0,0,0-0
47,115,65,1,0,0,0-0
48,84,52,1,0,0,0-0
49,121,109,1,0,0,0-0
50,136,114,1,0,0,0-0
51,34,0,1,0,0,0-0
52,12,4,1,0,0,0-0
53,44,35,1,0,0,0-0
54,104,49,1,0,0,0-0
55,107,47,1,0,0,0-0
56,73,25,1,0,0,0-0
57,11,116,1,0,0,0-0
58,53,57,1,0,0,0-0
59,78,49,1,0,0,0-0
60,52,115,1,0,0,0-0
61,97,87,1,0,0,0-0
62,65,65,1,0,0,0-0
63,81,144,1,0,0,0-0
64,29,12,1,0,0,0-0
65,40,82,1,0,0,0-0
66,7,70,1,0,0,0-0
67,55,134,1,0,0,0-0
68,49,25,1,0,0,0-0
69,109,142,1,0,0,0-0
70,105,45,1,0,0,0-0
71,25,91,1,0,0,0-0
72,106,18,1,0,0,0-0
73,13,66,1,0,0,0-0
74,59,67,1,0,0,0-0
75,24,142,1,0,0,0-0
76,102,59,1,0,0,0-0
77,131,5,1,0,0,0-0
78,116,147,1,0,0,0-0
79,100,67,1,0,0,0-0
80,141,90,1,0,0,0-0
81,130,18,1,0,0,0-0
82,39,26,1,0,0,0-0
83,79,51,1,0,0,0-0
84,33,41,1,0,0,0-0
85,137,78,1,0,0,0-0
86,8,104,1,0,0,0-0
87,14,114,1,0,0,0-0
88,35,66,1,0,0,0-0
89,91,49,1,0,0,0-0
90,28,16,1,0,0,0-0
91,69,15,1,0,0,0-0
92,93,49,1,0,0,0-0
93,77,0,1,0,0,0-0
94,144,96,1,0,0,0-0
95,5,56,1,0,0,0-0
96,64,71,1,0,0,0-0
97,32,110,1,0,0,0-0
98,83,140,1,0,0,0-0
99,62,82,1,0,0,0-0
100,4,7,1,0,0,0-0
101,86,109,1,0,0,0-0
102,20,34,1,0,0,0-0
103,125,149,1,0,0,0-0
104,75,72,1,0,0,0-0
105,138,44,1,0,0,0-0
106,9,104,1,0,0,0-0
107,1,123,1,0,0,0-0
108,51,139,1,0,0,0-0
109,129,89,1,0,0,0-0
110,111,131,1,0,0,0-0
111,47,117,1,0,0,0-0
112,15,109,1,0,0,0-0
113,143,131,1,0,0,0-0
114,88,30,1,0,0,0-0
115,46,31,1,0,0,0-0
116,149,137,1,0,0,0-0
117,139,64,1,0,0,0-0
118,80,74,1,0,0,0-0
119,92,132,1,0,0,0-0
120,63,134,1,0,0,0-0
121,30,11,1,0,0,0-0
122,0,33,1,0,0,0-0
123,2,110,1,0,0,0-0
124,41,118,1,0,0,0-0
125,68,107,1,0,0,0-0
126,145,5,1,0,0,0-0
127,119,32,1,0,0,0-0
128,6,5,1,0,0,0-0
129,142,27,1,0,0,0-0
130,90,101,1,0,0,0-0
131,22,99,1,0,0,0-0
132,122,129,1,0,0,0-0
133,94,81,1,0,0,0-0
134,118,84,1,0,0,0-0
135,132,40,1,0,0,0-0
136,148,42,1,0,0,0-0
137,98,8,1,0,0,0-0
138,113,131,1,0,0,0-0
139,147,71,1,0,0,0-0
140,61,22,1,0,0,0-0
141,74,33,1,0,0,0-0
142,126,116,1,0,0,0-0
143,146,88,1,0,0,0-0
144,112,36,1,0,0,0-0
145,95,63,1,0,0,0-0
146,10,70,1,0,0,0-0
147,140,65,1,0,0,0-0
148,87,6,1,0,0,0-0
149,89,41,1,0,0,0-0
150,41,85,1,0,0,0-0
151,93,36,1,0,0,0-0
152,132,128,1,0,0,0-0
153,118,73,1,0,0,0-0
154,126,93,1,0,0,0-0
155,14,131,1,0,0,0-0
156,74,105,1,0,0,0-0
157,14,46,1,0,0,0-0
158,70,116,1,0,0,0-0
159,128,129,1,0,0,0-0
160,43,142,1,0,0,0-0
161,146,119,1,0,0,0-0
162,8,43,1,0,0,0-0
163,149,12,1,0,0,0-0
164,138,142,1,0,0,0-0
165,15,75,1,0,0,0-0
166,11,0,1,0,0,0-0
167,141,78,1,0,0,0-0
168,126,145,1,0,0,0-0
169,26,5,1,0,0,0-0
170,26,60,1,0,0,0-0
171,119,98,1,0,0,0-0
172,79,12,1,0,0,0-0
173,50,127,1,0,0,0-0
174,119,77,1,0,0,0-0
175,53,10,1,0,0,0-0
176,3,136,1,0,0,0-0
177,41,19,1,0,0,0-0
178,49,96,1,0,0,0-0
179,33,112,1,0,0,0-0
180,2,98,1,0,0,0-0
181,45,144,1,0,0,0-0
182,120,25,1,0,0,0-0
183,103,73,1,0,0,0-0
184,142,81,1,0,0,0-0
185,96,134,1,0,0,0-0
186,79,86,1,0,0,0-0
187,102,136,1,0,0,0-0
188,65,26,1,0,0,0-0
189,114,47,1,0,0,0-0
190,59,130,1,0,0,0-0
191,63,68,1,0,0,0-0
192,76,76,1,0,0,0-0
193,14,22,1,0,0,0-0
194,61,56,1,0,0,0-0
195,8,111,1,0,0,0-0
196,90,57,1,0,0,0-0
197,133,16,1,0,0,0-0
198,90,0,1,0,0,0-0
199,36,136,1,0,0,0-0
200,74,81,1,0,0,0-0
201,103,48,1,0,0,0-0
202,138,101,1,0,0,0-0
203,49,42,1,0,0,0-0
204,91,29,1,0,0,0-0
205,7,4,1,0,0,0-0
206,59,19,1,0,0,0-0
207,140,96,1,0,0,0-0
208,61,121,1,0,0,0-0
209,73,123,1,0,0,0-0
210,3,10,1,0,0,0-0
211,146,124,1,0,0,0-0
212,3,109,1,0,0,0-0
213,17,132,1,0,0,0-0
214,32,42,1,0,0,0-0
215,64,36,1,0,0,0-0
216,46,5,1,0,0,0-0
217,131,82,1,0,0,0-0
218,131,73,1,0,0,0-0
219,128,46,1,0,0,0-0
220,86,24,1,0,0,0-0
221,75,48,1,0,0,0-0
222,5,93,1,0,0,0-0
223,10,28,1,0,0,0-0
224,5,36,1,0,0,0-0
225,41,15,1,0,0,0-0
226,65,38,1,0,0,0-0
227,94,58,1,0,0,0-0
228,25,99,1,0,0,0-0
229,24,48,1,0,0,0-0
230,69,49,1,0,0,0-0
231,39,1,1,0,0,0-0
232,64,126,1,0,0,0-0
233,114,34,1,0,0,0-0
234,118,136,1,0,0,0-0
235,46,129,1,0,0,0-0
236,141,105,1,0,0,0-0
237,130,51,1,0,0,0-0
238,44,115,1,0,0,0-0
239,122,121,1,0,0,0-0
240,6,56,1,0,0,0-0
241,26,129,1,0,0,0-0
242,120,13,1,0,0,0-0
243,42,121,1,0,0,0-0
244,131,78,1,0,0,0-0
245,52,92,1,0,0,0-0
246,77,34,1,0,0,0-0
247,120,148,1,0,0,0-0
248,101,111,1,0,0,0-0
249,72,115,1,0,0,0-0
250,7,20,1,0,0,0-0
251,88,138,1,0,0,0-0
252,61,0,1,0,0,0-0
253,133,19,1,0,0,0-0
254,134,119,1,0,0,0-0
255,57,83,1,0,0,0-0
256,43,35,1,0,0,0-0
257,43,115,1,0,0,0-0
258,13,28,1,0,0,0-0
259,104,110,1,0,0,0-0
260,36,67,1,0,0,0-0
261,138,32,1,0,0,0-0
262,0,114,1,0,0,0-0
263,85,82,1,0,0,0-0
264,3,28,1,0,0,0-0
265,6,101,1,0,0,0-0
266,88,3,1,0,0,0-0
267,119,55,1,0,0,0-0
268,84,69,1,0,0,0-0
269,63,146,1,0,0,0-0
270,56,149,1,0,0,0-0
271,101,66,1,0,0,0-0
272,129,135,1,0,0,0-0
273,120,52,1,0,0,0-0
274,110,72,1,0,0,0-0
275,88,31,1,0,0,0-0
276,85,55,1,0,0,0-0
277,131,113,1,0,0,0-0
278,60,142,1,0,0,0-0
279,64,22,1,0,0,0-0
