8394 8772 5 1
8772 8394 5 1
8772 8772 5 106
3562 8321 4 2200
3562 963 4 48
3562 826 3 310
3562 5438 3 3
7847 7215 1 8
6588 691 4 9
2528 6143 5 1
6143 2528 5 1
2182 2011 1 2
6913 7726 4 3
6913 393 3 29
8772 9907 4 79
6411 688 5 112
688 6411 5 112
3562 9907 4 64
826 8321 1 11
760 6640 5 1
6640 760 5 1
3562 2528 5 626
2528 3562 5 626
3562 4597 5 7
4597 3562 5 7
9825 4346 3 2
4479 604 4 4
6340 4261 4 9
5044 1858 4 2
3772 8772 5 1
8772 3772 5 1
6029 6029 5 2
1076 7702 4 2
5357 2192 4 11
8008 8772 5 61
8772 8008 5 61
4452 8480 1 4
2528 1672 5 3
1672 2528 5 3
7184 8147 4 2
1886 528 0 1
528 1886 0 1
3562 3501 4 2
2834 6513 1 38
3562 6400 5 1
6400 3562 5 1
3562 7262 4 423
8891 3421 5 8
3421 8891 5 8
6266 7599 4 6
9432 885 9 1
885 9432 9 1
4336 229 5 1
229 4336 5 1
8291 5357 5 2
5357 8291 5 2
3562 5126 5 287
5126 3562 5 287
5536 7757 8 3
5044 2528 5 48
2528 5044 5 48
3562 8008 5 15
8008 3562 5 15
8797 8772 5 136
8772 8797 5 136
3562 725 3 4
3562 2516 4 129
4355 4453 6 7
3588 1060 4 4
5854 8772 5 5
8772 5854 5 5
2182 2182 0 2
8499 6651 3 5
8772 2429 3 7
4678 8321 1 7
3367 1470 1 42
3367 9626 1 11
5024 1470 4 2
2528 7360 4 6
9778 9626 1 3
1748 3123 3 24
3562 9047 5 42
9047 3562 5 42
918 8226 4 2
2834 8321 1 58
4797 8920 3 16
4682 3740 0 1
3740 4682 0 1
9778 3367 0 1
3367 9778 0 1
3562 5181 4 63
625 4836 5 16
4836 625 5 16
3767 6434 5 22
6434 3767 5 22
7174 9778 3 2
4339 3367 3 9
3562 9569 3 94
3562 8920 3 15
3562 2083 5 1
2083 3562 5 1
7776 7728 3 2
8772 6803 4 6
6995 9907 1 2
229 7018 4 2
7878 1293 4 11
9501 2988 1 2
3898 7262 4 2
2423 8321 8 18
1748 3562 5 1
3562 1748 5 1
3811 1470 4 2
4339 1476 3 5
3871 4886 3 6
9797 8772 5 1
8772 9797 5 1
3447 718 3 2
7918 6434 5 1
6434 7918 5 1
7491 8914 4 4
4339 1470 4 4
7882 9907 8 60
3562 6510 3 2
8234 1864 8 2
4339 3200 3 2
3767 4678 3 14
5942 8321 1 5
544 6510 7 4
8356 6917 5 1
6917 8356 5 1
3562 8841 5 13
8841 3562 5 13
3579 1689 7 7
1951 6957 4 2
9865 8321 8 2
7700 7071 1 2
3562 9510 4 4
760 826 3 4
3734 507 5 1
507 3734 5 1
3562 5044 5 98
5044 3562 5 98
3530 5042 4 6
7319 3367 3 2
2498 8158 3 2
2778 9195 3 37
3562 1470 4 6
3431 1470 4 2
5126 8321 4 14
7734 8321 4 2
9018 3473 3 13
1672 8772 5 1
8772 1672 5 1
8772 296 5 21
296 8772 5 21
393 393 0 2
1967 8656 4 2
3562 7504 5 2
7504 3562 5 2
3562 6743 3 14
8284 4678 3 2
2376 2834 3 3
3609 9778 3 5
6434 9907 4 2
229 2495 4 9
3562 9987 4 4
8502 8502 5 10
8772 7056 3 140
3562 3598 3 12
3274 2834 3 2
8772 5365 5 2
5365 8772 5 2
2083 8772 5 4
8772 2083 5 4
3562 9887 3 2
5577 4672 3 22
567 9647 4 2
1379 7821 3 2
8744 7161 5 1
7161 8744 5 1
1220 742 5 1
742 1220 5 1
3562 1293 4 37
7176 7176 5 2
1148 3728 6 6
1984 4217 4 2
9711 3010 3 2
8772 3799 5 1
3799 8772 5 1
2322 3494 8 2
3562 5022 5 1
5022 3562 5 1
110 8008 5 5
8008 110 5 5
2528 826 3 6
3562 436 5 21
436 3562 5 21
3562 3925 4 7
3588 3658 4 2
1148 4992 4 27
9569 8321 1 39
2834 2785 1 6
3562 7702 4 30
8847 4672 3 2
760 1474 4 2
8008 8008 5 8
5743 5743 0 2
5357 7056 3 25
528 6262 1 15
2277 6956 4 2
5759 5759 5 4
8772 9787 4 9
343 8772 5 3
8772 343 5 3
6196 3263 6 2
223 94 1 2
8772 5589 3 3
9431 4051 5 1
4051 9431 5 1
1153 6041 1 2
229 7374 3 8
5357 8772 5 6
8772 5357 5 6
6434 2058 6 2
8929 6411 5 34
6411 8929 5 34
9018 8772 5 12
8772 9018 5 12
3562 2834 3 456
1492 4386 3 6
3562 9011 5 1
9011 3562 5 1
5879 8772 5 1
8772 5879 5 1
4430 1172 3 2
5056 3942 4 3
7236 5542 4 2
8772 7780 4 2
8772 6528 4 8
8772 8401 5 6
8401 8772 5 6
1945 6932 4 2
8772 7270 4 11
3562 9399 4 6
5357 132 5 1
132 5357 5 1
5854 5397 6 12
2058 5417 7 2
9578 1175 1 2
2528 9068 3 4
6016 4969 4 6
2384 9848 3 2
6758 5193 5 1
5193 6758 5 1
2088 8772 5 17
8772 2088 5 17
3562 717 5 19
717 3562 5 19
5151 6478 4 2
9301 1643 4 2
3562 4847 6 4
2854 4905 4 3
760 4824 3 2
3562 983 5 6
983 3562 5 6
6411 5759 5 1
5759 6411 5 1
3562 9015 4 47
7699 3215 4 7
2528 2834 3 63
8866 393 3 25
3562 9531 3 115
1076 229 5 2
229 1076 5 2
268 8321 4 2
7687 5407 8 49
5536 9767 7 8
8772 5190 5 24
5190 8772 5 24
5357 2466 4 4
3562 3450 4 5
3767 2785 4 20
3562 8525 4 13
2834 8525 1 2
8772 2834 3 55
7874 5151 5 1
5151 7874 5 1
3562 38 3 2
8502 7303 5 27
7303 8502 5 27
3571 3571 0 24
9018 2530 4 2
9486 8772 5 3
8772 9486 5 3
2778 7599 4 2
9502 3486 5 2
3486 9502 5 2
1074 8772 5 1
8772 1074 5 1
3562 256 4 3
8772 3217 5 1
3217 8772 5 1
1412 1748 5 1
1748 1412 5 1
4844 266 1 2
2762 8321 8 11
3562 5290 4 9
3562 2785 4 48
2809 2515 1 2
1699 3665 4 3
2765 5553 4 2
6205 8321 8 2
3562 1428 5 23
1428 3562 5 23
625 1293 4 3
8502 4844 3 12
688 3663 5 4
3663 688 5 4
5365 8321 4 4
5357 998 4 2
3562 2404 4 3
760 4750 4 2
365 2634 3 4
8584 8321 1 6
8772 1764 4 62
4234 5731 5 2
5731 4234 5 2
8772 1919 3 31
3562 529 5 1
529 3562 5 1
571 8502 5 43
8502 571 5 43
194 4598 1 6
8772 8702 4 4
1218 2300 1 3
444 4996 1 2
2834 9907 1 2
3106 2087 4 28
7482 8772 5 5
8772 7482 5 5
474 4135 5 1
4135 474 5 1
3562 3665 4 265
8946 6821 1 2
1635 8772 5 1
8772 1635 5 1
1076 5189 4 5
3562 3008 3 2
3562 4996 4 10
7308 5669 3 18
1259 4670 4 2
9726 7095 4 2
5256 3331 3 6
6255 3562 5 1
3562 6255 5 1
9018 9018 5 8
3562 4879 4 3
3562 6767 5 24
6767 3562 5 24
3562 9078 3 7
3562 5844 4 20
8772 910 3 2
7775 9461 4 2
3562 7360 4 25
2016 3599 4 2
7650 4705 5 1
4705 7650 5 1
3562 8723 3 12
4070 4444 3 2
4070 690 3 2
9018 8008 5 5
8008 9018 5 5
405 7101 5 4
7101 405 5 4
3562 9068 3 22
2528 5589 3 3
3562 4173 3 5
3562 6449 4 58
8772 1699 5 35
1699 8772 5 35
5193 8100 4 9
6073 8682 4 18
2540 3776 5 1
3776 2540 5 1
8772 38 3 17
5835 5755 1 2
9508 3012 3 2
6201 3562 5 1
3562 6201 5 1
5381 5381 0 2
5443 195 4 2
3562 1505 5 4
1505 3562 5 4
9534 2578 0 1
2578 9534 0 1
3562 5966 4 11
3562 2695 4 38
4227 8772 5 9
8772 4227 5 9
8772 8584 3 23
3562 9589 3 40
6143 8886 6 2
9406 8321 4 3
8225 6185 0 1
6185 8225 0 1
1644 4380 1 2
4164 5488 4 2
3562 8627 5 1
8627 3562 5 1
3562 585 3 3
4549 1265 4 8
9583 7941 5 1
7941 9583 5 1
8042 5337 4 2
8866 8388 5 1
8388 8866 5 1
1702 3562 5 2
3562 1702 5 2
7582 7434 5 1
7434 7582 5 1
3562 7095 4 2
9406 8008 5 18
8008 9406 5 18
3562 1685 3 10
9406 1505 5 1
1505 9406 5 1
717 8772 5 18
8772 717 5 18
5536 2927 8 2
5604 5604 0 2
8744 8866 5 1
8866 8744 5 1
2226 4522 1 2
2781 3390 1 2
3562 760 5 6
760 3562 5 6
717 6420 4 9
8187 7821 3 7
3562 7734 5 2
7734 3562 5 2
3562 6989 3 6
2911 9457 1 2
3619 1690 5 1
1690 3619 5 1
3562 5068 4 2
3562 7870 5 2
7870 3562 5 2
6567 1148 5 2
1148 6567 5 2
2528 2516 4 3
1672 9204 3 2
3530 9436 4 5
3562 562 5 1
562 3562 5 1
4735 4886 3 2
3562 5036 5 1
5036 3562 5 1
6883 9907 4 2
1365 5438 3 2
145 9185 3 2
780 4858 1 6
6143 2834 3 4
3562 4833 4 14
3562 6559 6 5
7189 8321 4 2
8938 1802 5 1
1802 8938 5 1
3562 6735 4 4
3562 1329 3 2
2340 2736 5 1
2736 2340 5 1
3562 7440 5 6
7440 3562 5 6
7440 8321 4 3
717 5009 5 1
5009 717 5 1
3562 1208 5 4
1208 3562 5 4
3562 5378 4 2
3796 7746 1 2
9865 9865 9 4
8107 5051 5 2
5051 8107 5 2
1458 6285 0 2
6285 1458 0 2
5922 3562 5 1
3562 5922 5 1
955 445 1 2
8772 2899 3 2
4633 4633 0 4
3437 8502 5 7
8502 3437 5 7
760 8321 4 8
2528 2547 3 2
3562 8146 4 2
3562 574 3 2
8614 9527 6 2
8828 7207 1 2
6411 9907 4 2
3767 1923 3 2
3562 9018 5 2
9018 3562 5 2
2201 625 5 1
625 2201 5 1
5193 2256 4 3
5410 1886 3 2
9406 6616 4 2
6505 3521 3 2
3562 8269 3 2
426 184 3 2
3562 1123 4 4
8772 3034 5 1
3034 8772 5 1
3562 393 3 9
1644 3820 1 11
3562 8099 5 1
8099 3562 5 1
8008 7056 3 6
8008 7472 4 19
7713 7475 5 1
7475 7713 5 1
3352 9589 3 2
8262 5543 4 2
5567 4827 5 1
4827 5567 5 1
693 9345 4 9
6001 9971 4 2
5295 6110 3 2
1802 4135 5 1
4135 1802 5 1
970 6658 3 3
3562 5665 3 9
8772 6054 3 21
3562 3142 5 4
3142 3562 5 4
3562 5249 3 3
9589 9907 1 27
8008 2027 3 2
8772 4246 6 13
3562 8505 3 39
8772 9711 5 4
9711 8772 5 4
8772 9865 6 7
2749 1919 0 1
1919 2749 0 1
9797 4828 4 2
3562 9243 4 30
4847 4173 7 2
2384 4672 3 31
2528 5942 3 5
2528 5714 4 4
3213 6277 4 2
7807 8854 4 2
1856 7807 5 1
7807 1856 5 1
5305 5305 9 2
8040 8200 5 1
8200 8040 5 1
8187 7475 5 1
7475 8187 5 1
2528 5172 4 2
8866 7726 4 3
3562 335 5 5
335 3562 5 5
8744 6606 5 1
6606 8744 5 1
8650 8772 5 2
8772 8650 5 2
2778 1461 4 8
5670 5733 7 2
7193 2839 4 2
7195 5268 1 2
9018 5312 5 1
5312 9018 5 1
5991 133 5 1
133 5991 5 1
8797 181 3 2
8632 2499 4 9
9905 1699 5 2
1699 9905 5 2
2262 343 5 1
343 2262 5 1
2528 1937 5 1
1937 2528 5 1
9408 9848 3 4
8115 8772 5 2
8772 8115 5 2
3562 3253 5 4
3253 3562 5 4
4037 5626 1 7
8402 2785 4 9
9342 8321 4 12
9721 4037 0 1
4037 9721 0 1
4390 3314 3 2
3598 9770 1 2
8772 9345 4 2
3562 7321 4 2
9406 1919 3 4
8772 3767 5 22
3767 8772 5 22
8106 5543 1 2
2518 4886 3 3
3562 94 4 6
7007 7745 3 2
297 6078 4 11
3562 9110 5 3
9110 3562 5 3
9378 6185 3 2
489 6285 7 4
7870 8321 4 2
6969 8772 5 1
8772 6969 5 1
5761 5405 0 1
5405 5761 0 1
5566 4683 3 2
8772 7026 4 4
3039 8321 1 2
6771 3562 5 3
3562 6771 5 3
5589 2785 1 7
8402 5589 3 5
2969 2528 5 1
2528 2969 5 1
3767 2834 3 9
4555 8772 5 1
8772 4555 5 1
7007 3367 3 3
2335 544 6 2
3562 8058 5 5
8058 3562 5 5
6696 8772 5 3
8772 6696 5 3
3562 1778 4 4
5505 7375 4 2
3562 9620 5 3
9620 3562 5 3
3562 487 6 2
2481 2518 5 2
2518 2481 5 2
6771 2198 6 4
2834 2638 1 2
3562 7192 5 4
7192 3562 5 4
8685 5543 1 2
8231 8231 0 12
8132 7508 3 2
1227 4450 1 3
