163 862
1611 43
321 197
197 321
1296 1296
1700 114
1141 862
1141 111
1227 862
1227 120
1449 74
289 862
1461 519
1461 1141
1141 1461
1461 1644
1644 1461
1290 862
1594 84
1449 1742
1461 33
1339 862
1461 205
1433 1671
1671 1433
1488 862
1461 862
1225 352
111 862
1094 862
1710 111
1599 1710
1635 1296
1296 1635
1373 114
74 862
1461 1742
1197 278
283 862
43 489
43 186
186 43
1620 862
1400 862
1498 862
1742 636
1233 390
1743 862
1550 549
1339 424
114 862
1461 74
1094 1742
1461 38
1165 1290
1290 1165
1661 358
1661 205
1117 1117
114 390
222 222
1461 1488
1488 1461
1452 796
1616 1289
1289 1616
1635 520
1461 1004
1599 43
74 390
1118 594
1599 862
1278 1742
265 862
1440 1296
1296 1440
1416 489
1461 698
1267 194
1676 862
1156 862
205 862
1715 255
1728 721
1107 1297
1297 1107
1485 1267
1267 1485
222 862
1136 862
1616 1296
1296 1616
167 862
1460 862
1644 862
1653 1727
1142 390
1599 1628
1628 1599
1628 1743
1599 1743
321 862
186 862
1362 862
1498 390
194 862
1661 897
1742 862
1599 519
1381 159
53 862
154 646
1418 1700
1461 1705
146 862
1461 45
1248 862
1141 197
1740 862
217 43
43 217
1504 298
1611 862
1449 1141
1141 1449
1233 862
1461 841
1599 1267
1267 1599
1616 658
1616 21
262 633
43 222
222 43
1471 862
1318 862
1296 379
99 862
75 862
1596 1297
1297 1596
1297 130
1141 776
1141 390
1700 862
1461 379
1094 1267
1267 1094
1433 423
1290 1599
1599 1290
1296 374
235 853
1336 698
1200 862
1650 1290
1290 1650
1635 862
1278 1141
1141 1278
1612 862
235 99
99 235
1461 1585
1585 1461
1461 797
1471 1339
1339 1471
228 862
1594 522
1261 798
1445 862
1266 862
1742 888
1516 1094
1094 1516
37 862
1742 197
1616 519
1433 862
1461 743
1117 198
1142 862
1257 1550
1550 1257
1742 698
1296 489
200 862
1233 489
84 862
1521 1653
1653 1521
1614 84
1141 519
8 711
205 798
73 862
1089 862
128 519
1594 519
1461 1269
1269 1461
1742 270
1461 1278
1278 1461
321 515
1205 949
194 424
64 862
1225 489
114 424
1094 1585
1585 1094
1606 84
1532 1267
1267 1532
1318 197
1737 796
1339 1248
1248 1339
1585 1267
1267 1585
1267 398
1228 862
1635 1433
1433 1635
248 862
248 489
1597 862
43 897
1694 862
1090 1291
1291 1090
1285 1370
1370 1285
1461 1208
1208 1461
1145 862
207 45
45 207
1470 489
1449 519
1653 393
1273 862
1611 114
1611 1296
1296 1611
321 379
1304 862
1304 1433
1433 1304
1289 862
1291 1279
1279 1291
1296 879
1635 605
1208 862
1461 1523
1523 1461
1290 1339
1339 1290
1464 149
1267 695
1267 1742
1297 1717
1248 390
1248 197
307 862
1278 1343
1343 1278
1742 798
1579 862
1141 406
1141 1671
1671 1141
1355 924
1355 588
1525 897
1296 45
1635 1141
1141 1635
1606 335
1671 897
1635 969
1426 798
1643 1227
1227 1643
1436 862
1599 489
1635 897
1585 1620
1620 1585
1278 186
1461 695
1461 798
43 43
1461 522
83 173
173 83
51 798
1461 228
1205 1635
1635 1205
1267 186
197 515
1454 205
1585 618
117 885
1296 841
1628 53
1628 1461
1461 1628
43 374
197 897
1094 489
1629 212
1470 862
1296 321
1205 321
321 321
74 197
197 74
321 519
1599 194
1461 186
1628 519
1461 1611
1611 1461
1644 1742
1296 603
1227 114
270 862
1228 278
83 310
310 83
1217 862
94 862
160 766
1255 1715
1110 862
1672 519
1339 658
1661 1599
1599 1661
1742 519
50 203
203 50
1094 1141
1141 1094
1450 154
1485 1628
1628 1485
1267 798
207 862
1461 776
